LVL 8
18 18
Wall 7 1
Wall 12 1
Baba 15 1
Wall 7 2
Wall 12 2
Water 7 3
Water 12 3
TpGreen 14 3
TpBlue 17 3
Water 7 4
Water 12 4
Wall 7 5
Wall 12 5
TextPush 16 5
Wall 7 6
Wall 12 6
Wall 1 7
Wall 2 7
Wall 3 7
Wall 4 7
Wall 5 7
Wall 6 7
Wall 7 7
Wall 12 7
Wall 13 7
Wall 14 7
Wall 15 7
Wall 16 7
Wall 17 7
Wall 18 7
TextTpBlue 5 8
TextIs 6 8
TextOn 7 8
TextTpGreen 12 8
TextIs 13 8
TextOn 14 8
Flag 9 9
Flag 10 9
Flag 9 10
Flag 10 10
TextBaba 5 11
TextIs 6 11
TextYou 7 11
Wall 1 12
Wall 2 12
Water 3 12
Water 4 12
Wall 5 12
Wall 6 12
Wall 7 12
Wall 8 12
Wall 9 12
Wall 10 12
Wall 11 12
Wall 12 12
Wall 13 12
Wall 14 12
Water 15 12
Water 16 12
Wall 17 12
Wall 18 12
Wall 7 13
TextGoop 8 13
Wall 9 13
Wall 10 13
TextWall 11 13
Wall 12 13
TextRock 2 14
TextIs 3 14
Wall 7 14
TextIs 8 14
Wall 9 14
Wall 10 14
TextIs 11 14
Wall 12 14
Rock 2 15
Wall 7 15
TextSink 8 15
Wall 9 15
Wall 10 15
TextStop 11 15
Wall 12 15
Rock 2 16
TpGreen 3 16
Wall 7 16
Wall 12 16
Rock 2 17
Wall 7 17
Wall 12 17
Wall 7 18
Wall 12 18
LVL 8
18 18
Wall 7 1
Wall 8 1
Wall 9 1
Wall 10 1
Wall 11 1
Wall 12 1
Wall 7 2
TextFlag 8 2
TextIs 9 2
Wall 11 2
Wall 12 2
TpBlue 2 3
Water 7 3
Water 12 3
Water 7 4
Water 12 4
Wall 7 5
Wall 8 5
Wall 9 5
Wall 10 5
Wall 11 5
Wall 12 5
Wall 7 6
Wall 12 6
TpGreen 13 6
Wall 1 7
Wall 2 7
Wall 3 7
Wall 4 7
Wall 5 7
Wall 6 7
Wall 7 7
Wall 12 7
Wall 13 7
Wall 14 7
Wall 15 7
Wall 16 7
Wall 17 7
Wall 18 7
TextTpRed 5 8
TextIs 6 8
TextOn 7 8
Wall 1 12
Wall 2 12
Wall 3 12
Wall 4 12
Wall 5 12
Wall 6 12
Wall 7 12
Wall 12 12
Wall 13 12
Wall 14 12
Wall 15 12
Wall 16 12
Wall 17 12
Wall 18 12
Wall 7 13
Wall 12 13
Wall 7 14
Wall 12 14
Water 13 14
Water 14 14
Water 15 14
Water 16 14
Water 17 14
Water 18 14
TpGreen 3 15
TpRed 5 15
Wall 7 15
Wall 12 15
Wall 7 16
Wall 12 16
Water 13 16
Water 14 16
Water 15 16
Water 16 16
Water 17 16
Water 18 16
Wall 7 17
Wall 12 17
Wall 7 18
Wall 12 18
LVL 8
18 18
Wall 7 1
Wall 12 1
Wall 7 2
Wall 12 2
TpRed 2 3
TpGreen 5 3
Wall 7 3
Wall 12 3
Wall 7 4
Wall 12 4
Wall 7 5
Wall 12 5
Wall 7 6
Wall 12 6
Wall 1 7
Wall 2 7
Wall 3 7
Wall 4 7
Wall 5 7
Wall 6 7
Wall 7 7
Wall 12 7
Wall 13 7
Wall 14 7
Wall 15 7
Wall 16 7
Wall 17 7
Wall 18 7
Wall 1 12
Wall 2 12
Wall 3 12
Wall 4 12
Wall 5 12
Wall 6 12
Wall 7 12
Wall 12 12
Wall 13 12
Wall 14 12
Wall 15 12
Wall 16 12
Wall 17 12
Wall 18 12
Wall 7 13
Wall 12 13
Wall 7 14
Wall 12 14
TpGreen 14 14
Wall 7 15
Wall 12 15
Wall 7 16
Wall 12 16
TextWin 16 16
Wall 7 17
Wall 12 17
Wall 7 18
Wall 12 18
