LVL 5
18 18
TextRock 16 1
TextIs 17 1
TextPush 18 1
Grass 14 2
Grass 2 3
TextLava 5 5
Lava 6 5
Lava 7 5
Lava 8 5
Lava 9 5
Lava 10 5
Lava 11 5
Lava 12 5
Lava 13 5
Lava 14 5
TextBaba 15 5
TextIs 5 6
Lava 6 6
Baba 10 6
Lava 14 6
TextIs 15 6
TextKill 5 7
Lava 6 7
Wall 8 7
Wall 9 7
TextTpBlue 9 7
Wall 10 7
TextIs 10 7
Wall 11 7
TextOn 11 7
Wall 12 7
Lava 14 7
TextYou 15 7
Lava 6 8
Wall 8 8
Rock 9 8
Rock 11 8
Wall 12 8
Lava 14 8
Grass 2 9
Lava 6 9
Wall 8 9
TpBlue 10 9
Wall 12 9
Lava 14 9
Grass 17 9
Lava 6 10
Wall 8 10
Rock 9 10
Rock 11 10
Wall 12 10
Lava 14 10
Lava 6 11
Wall 8 11
Wall 9 11
Wall 10 11
Wall 11 11
Wall 12 11
Lava 14 11
Lava 6 12
Lava 14 12
Lava 6 13
Lava 7 13
Lava 8 13
Lava 9 13
Lava 10 13
Lava 11 13
Lava 12 13
Lava 13 13
Lava 14 13
Grass 16 15
Grass 4 16
Grass 12 16
LVL 5
18 18
Grass 3 2
Grass 12 2
Grass 8 3
Grass 17 3
Water 5 4
Water 6 4
Water 7 4
Water 8 4
Water 9 4
Water 10 4
Water 11 4
Water 12 4
Water 13 4
Water 14 4
Water 15 4
Grass 1 5
TextGoop 4 5
Water 5 5
Water 15 5
TextTpRed 16 5
TextIs 4 6
Water 5 6
Lava 7 6
Lava 8 6
Lava 9 6
Lava 10 6
Lava 11 6
Lava 12 6
Lava 13 6
Water 15 6
TextIs 16 6
TextKill 4 7
Water 5 7
Lava 7 7
Wall 8 7
Wall 9 7
Wall 10 7
TextWin 10 7
Wall 11 7
Wall 12 7
Lava 13 7
Water 15 7
TextOn 16 7
Water 5 8
Lava 7 8
Wall 8 8
Wall 12 8
Lava 13 8
Water 15 8
Grass 2 9
Water 5 9
Lava 7 9
Wall 8 9
TpRed 10 9
Wall 12 9
Lava 13 9
Water 15 9
Grass 17 9
Water 5 10
Lava 7 10
Wall 8 10
Wall 12 10
Lava 13 10
Water 15 10
Water 5 11
Lava 7 11
Wall 8 11
Wall 9 11
Wall 10 11
Wall 11 11
Wall 12 11
Lava 13 11
Water 15 11
Water 5 12
Lava 7 12
Lava 8 12
Lava 9 12
Lava 10 12
Lava 11 12
Lava 12 12
Lava 13 12
Water 15 12
Water 5 13
Water 15 13
Grass 3 14
Water 5 14
Water 6 14
Water 7 14
Water 8 14
Water 9 14
Water 10 14
Water 11 14
Water 12 14
Water 13 14
Water 14 14
Water 15 14
Grass 15 15
Grass 5 17
Grass 13 17
